OBJECTID,COCNAME,STUSAB,COCNUM,STATE_NAME,PPRN,ES_CN_HWACW,ES_CN_HWOA_TOT,ES_CN_HWOC,ES_CN_VET,ES_VSO_HWAC_TOT,ES_VSO_HWOA_TOT,ES_VSO_HWOC_TOT,ES_VSO_VET_TOT,TH_CN_HWAC_TOT,TH_CN_HWOA,TH_CN_HWOC,TH_CN_VET,RRH_CN_HWAC_TOT,RRH_CN_HWOA,RRH_CN_HWOC,RRH_CN_VET,PSH_CN_HWAC_TOT,PSH_CN_HWOA,PSH_CN_HWOC,PSH_CN_VET,PSH_CN_CH,PSH_U_HWAC_TOT,PSH_U_HWOA,PSH_U_HWOC,PSH_U_VET,PSH_U_CH,SH_CN_HWOA,SH_CN_HWOC,SH_CN_VET,SH_PERS_HWOA,UNSH_PERS_HWOA,SH_PERS_HWOC,UNSH_PERS_HWOC,SH_PERS_HWAC,UNSH_PERS_HWAC,SH_CH,UNSH_CH,SH_UY,UNSH_UY,SH_VETS,UNSH_VETS,STATE,Contact_Type,Prefix,First_Name,Last_Name,Suffix,Title,Primary_Phone,Primary_Phone_Ext,Fax,Email_Address,YEAR,Shape__Area,Shape__Length
112,"Sioux City/Dakota, Woodbury Counties CoC",,IA-500,Iowa,2206649,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,20,0,0,68,0,77,19,,,8,1,,,,,,,,,,,,,5441288671.5,371363.468974961
113,Iowa Balance of State CoC,,IA-501,Iowa,14711040,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,253,2,5,509,39,211,90,,,59,13,,,,,,,,,,,,,253290875198.609,3166291.60156395
114,Des Moines/Polk County CoC,,IA-502,Iowa,5047152,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,145,1,0,110,2,104,71,,,36,18,,,,,,,,,,,,,2937808744.14844,362281.707218897
115,Boise/Ada County CoC,,ID-500,Idaho,1171642,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,112,0,0,126,5,134,74,,,108,11,,,,,,,,,,,,,5214119360.82813,318313.266063165
116,Idaho Balance of State CoC,,ID-501,Idaho,4555477,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,653,4,1,385,603,85,227,,,23,67,,,,,,,,,,,,,419460730684.02,4515764.90943289
117,McHenry County CoC,,IL-500,Illinois,590365,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,15,0,0,36,5,19,13,,,19,0,,,,,,,,,,,,,2916718666.30469,271405.364213591
118,"Rockford/DeKalb, Winnebago, Boone Counties CoC",,IL-501,Illinois,3793700,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,9,2,0,172,0,20,6,,,17,2,,,,,,,,,,,,,6762437280.51172,464714.457355421
119,"Waukegan, North Chicago/Lake County CoC",,IL-502,Illinois,3509665,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,73,3,0,426,2,57,16,,,6,2,,,,,,,,,,,,,2243843302.42578,236632.437238426
120,"Champaign, Urbana, Rantoul/Champaign County CoC",,IL-503,Illinois,903201,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,23,0,0,92,19,20,2,,,9,1,,,,,,,,,,,,,4430072836.70703,270356.88878456
121,Madison County CoC,,IL-504,Illinois,2244869,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,57,0,0,25,3,5,11,,,0,4,,,,,,,,,,,,,3177405527.28906,308264.997966489
122,"Joliet, Bolingbrook/Will County CoC",,IL-506,Illinois,3091925,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,38,0,0,111,0,27,14,,,11,1,,,,,,,,,,,,,7274430564.98438,611616.785812842
123,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",,IL-507,Illinois,3343579,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,56,0,0,92,0,123,18,,,7,1,,,,,,,,,,,,,12211472907.5391,591621.72592951
124,"East St. Louis, Belleville/St. Clair County CoC",,IL-508,Illinois,3682236,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,19,15,0,50,0,4,5,,,25,0,,,,,,,,,,,,,2844226501.33203,275624.449147353
125,Chicago CoC,,IL-510,Illinois,92078142,,,,,,,,,,,,,,,,,,,,,,0,408,0,0,0,,,,,1621,6,1,10869,12,2282,411,,,194,111,,,,,,,,,,,,,1081056494.35156,327266.429078476
126,Cook County CoC,,IL-511,Illinois,20032627,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,112,2,0,625,2,163,47,,,29,7,,,,,,,,,,,,,3400629874.5,723731.895429366
127,Bloomington/Central Illinois CoC,,IL-512,Illinois,2667882,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,62,3,0,136,0,58,21,,,17,6,,,,,,,,,,,,,34811045338.0625,1346826.50202822
128,Springfield/Sangamon County CoC,,IL-513,Illinois,860892,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,26,0,0,117,0,63,15,,,25,3,,,,,,,,,,,,,3848320668.64844,309268.374135236
129,DuPage County CoC,,IL-514,Illinois,4397979,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,26,0,0,251,0,99,1,,,7,3,,,,,,,,,,,,,1555874157.86328,370959.469275126
130,South Central Illinois CoC,,IL-515,Illinois,2001101,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,60,3,2,109,18,3,10,,,1,3,,,,,,,,,,,,,41715690655.9531,1324077.27370862
131,Decatur/Macon County CoC,,IL-516,Illinois,675060,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,27,0,0,30,0,16,10,,,5,2,,,,,,,,,,,,,2577835976.05078,221304.503640657
132,"Aurora, Elgin/Kane County CoC",,IL-517,Illinois,2354183,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,119,0,0,171,3,100,13,,,15,0,,,,,,,,,,,,,2551668521.29688,413906.662320731
133,"Rock Island, Moline/Northwestern Illinois CoC",,IL-518,Illinois,3691748,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,168,2,0,38,24,11,4,,,7,0,,,,,,,,,,,,,43015651537.2773,1163040.09932499
134,West Central Illinois CoC,,IL-519,Illinois,1082570,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,7,2,0,48,0,10,2,,,7,0,,,,,,,,,,,,,26716180890.7656,849858.132468604
135,Southern Illinois CoC,,IL-520,Illinois,2747465,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,55,6,0,36,0,23,5,,,12,0,,,,,,,,,,,,,46525122491.1563,1598842.83454881
136,Indiana Balance of State CoC,,IN-502,Indiana,35584543,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1096,6,0,1240,42,365,0,,,200,52,,,,,,,,,,,,,157804294188.773,2420932.11471735
137,Indianapolis CoC,,IN-503,Indiana,11259588,,,,,,,,,,,,,,,,,,,,,,10,54,0,0,64,,,,,339,3,0,419,0,128,196,,,142,28,,,,,,,,,,,,,1769591374.15234,171351.800223511
138,Wichita/Sedgwick County CoC,,KS-502,Kansas,4000003,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,188,2,0,191,0,42,69,,,28,15,,,,,,,,,,,,,4180312197.16406,269623.551824605
139,Topeka/Shawnee County CoC,,KS-503,Kansas,2318634,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,200,0,0,114,3,65,185,,,33,14,,,,,,,,,,,,,2389327165.25,225815.082790297
140,"Overland Park, Shawnee/Johnson County CoC",,KS-505,Kansas,1062197,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,56,0,0,82,2,27,27,,,5,4,,,,,,,,,,,,,2064086211.73828,213174.357092688
141,Kansas Balance of State CoC,,KS-507,Kansas,6752752,,,,,,,,,,,,,,,,,,,,,,0,32,0,0,20,,,,,284,2,0,252,18,148,160,,,62,17,,,,,,,,,,,,,339139261021.961,3149638.17334171
142,Kentucky Balance of State CoC,,KY-500,Kentucky,14652463,,,,,,,,,,,,,,,,,,,,,,15,6,0,0,0,,,,,976,10,3,598,60,154,235,,,111,37,,,,,,,,,,,,,163841631908.707,2990246.21300798
143,Louisville-Jefferson County CoC,,KY-501,Kentucky,13334803,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,595,7,0,304,0,302,247,,,143,43,,,,,,,,,,,,,1669545767.08594,198450.845968106
144,Lexington-Fayette County CoC,,KY-502,Kentucky,2825382,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,82,4,0,164,0,103,24,,,55,2,,,,,,,,,,,,,1194403552.25781,195389.300696849
145,Lafayette/Acadiana Regional CoC,,LA-500,Louisiana,4123318,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,182,0,0,136,0,40,62,,,21,7,,,,,,,,,,,,,20781110215.293,1472345.83075035
146,"Shreveport, Bossier/Northwest Louisiana CoC",,LA-502,Louisiana,3549301,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,87,6,0,66,0,33,42,,,52,3,,,,,,,,,,,,,19366924165.6953,691398.22026208
147,New Orleans/Jefferson Parish CoC,,LA-503,Louisiana,19098684,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,482,1,0,170,2,68,15,,,74,5,,,,,,,,,,,,,2901948199.2207,817231.365509633
148,Monroe/Northeast Louisiana CoC,,LA-505,Louisiana,1743207,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,46,3,0,28,0,6,14,,,0,5,,,,,,,,,,,,,26390902157.8398,1077051.13541732
149,Slidell/Southeast Louisiana CoC,,LA-506,Louisiana,1789611,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,152,0,0,29,15,8,9,,,0,4,,,,,,,,,,,,,12996520335.6836,733895.74211886
150,Alexandria/Central Louisiana CoC,,LA-507,Louisiana,1222334,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,117,0,0,18,0,3,55,,,7,6,,,,,,,,,,,,,26179296158.4219,1132283.14750786
151,Louisiana Balance of State CoC,,LA-509,Louisiana,8129412,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,455,6,1,125,19,54,71,,,25,14,,,,,,,,,,,,,57117899400.0703,15401934.6147221
152,Boston CoC,,MA-500,Massachusetts,20935328,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,134,22,0,3765,0,701,26,,,184,3,,,,,,,,,,,,,234931310.113281,240348.472591617
153,Lynn CoC,,MA-502,Massachusetts,2567913,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,16,30,0,1005,0,49,7,,,2,0,,,,,,,,,,,,,54844295.4375,39572.5124993143
154,Cape Cod Islands CoC,,MA-503,Massachusetts,1037314,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,76,0,0,305,0,36,40,,,6,3,,,,,,,,,,,,,2657552197.13672,1627875.85057108
155,Springfield/Hampden County CoC,,MA-504,Massachusetts,6482940,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,176,0,1,2469,0,272,110,,,22,7,,,,,,,,,,,,,2988764398.81641,372094.900906466
156,"New Bedford, Attleboro, Taunton/Bristol County CoC",,MA-505,Massachusetts,4685992,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,158,0,1,883,0,81,45,,,39,6,,,,,,,,,,,,,2509248903.07422,584278.91562063
157,Worcester City & County CoC,,MA-506,Massachusetts,8133663,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,142,0,0,1323,0,235,72,,,46,6,,,,,,,,,,,,,7493488343.71484,484765.772997699
158,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",,MA-507,Massachusetts,2488821,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,82,0,0,503,4,103,52,,,102,7,,,,,,,,,,,,,10543658251.0469,593800.303000347
159,Cambridge CoC,,MA-509,Massachusetts,3142791,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,82,0,0,334,0,145,51,,,14,8,,,,,,,,,,,,,33732250.6328125,35821.5939968392
160,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",,MA-511,Massachusetts,4571318,,,,,,,,,,,,,,,,,,,,,,0,32,0,0,32,,,,,104,0,0,1430,0,232,61,,,18,2,,,,,,,,,,,,,3399533627.90625,860443.10829935
161,Fall River CoC,,MA-515,Massachusetts,3145906,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,140,0,0,298,0,37,67,,,2,1,,,,,,,,,,,,,182918539.304688,82903.0288452859
162,Massachusetts Balance of State CoC,,MA-516,Massachusetts,23414149,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,517,0,0,10073,2,215,244,,,57,15,,,,,,,,,,,,,8243664128.03125,1289411.91872445
163,Baltimore CoC,,MD-501,Maryland,25270004,,,,,,,,,,,,,,,,,,,,,,90,58,0,0,48,,,,,106,0,0,304,7,234,0,,,127,0,,,,,,,,,,,,,352412464.757813,205816.604018526
164,Annapolis/Anne Arundel County CoC,,MD-503,Maryland,2723728,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,98,0,0,60,0,16,34,,,7,3,,,,,,,,,,,,,1788520047.30078,1068262.63275194
165,Howard County CoC,,MD-504,Maryland,591405,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,43,0,0,30,19,17,11,,,2,3,,,,,,,,,,,,,1095901677.23047,182007.151071996
166,Baltimore County CoC,,MD-505,Maryland,5371560,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,115,0,0,205,0,107,58,,,7,8,,,,,,,,,,,,,2646924183.84766,739433.917839695
167,Carroll County CoC,,MD-506,Maryland,377449,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,23,0,0,30,0,22,3,,,9,1,,,,,,,,,,,,,1975232571.87109,264558.344749792
168,Mid-Shore Regional CoC,,MD-511,Maryland,630863,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,3,0,0,80,0,25,2,,,2,0,,,,,,,,,,,,,7795048285.96484,3704944.73379344
169,"Wicomico, Somerset, Worcester Counties CoC",,MD-513,Maryland,615741,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,29,1,0,87,3,37,3,,,6,2,,,,,,,,,,,,,5029753067.39453,1906707.398723
170,Maryland Balance of State CoC,,MD-514,Maryland,3642961,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,327,4,0,355,2,124,92,,,72,12,,,,,,,,,,,,,17628069399.3008,3187942.57407242
171,Prince George's County CoC,,MD-600,Maryland,6922041,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,97,3,0,354,11,38,35,,,15,4,,,,,,,,,,,,,2084622957.89453,329716.121367141
172,Montgomery County CoC,,MD-601,Maryland,6407591,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,153,0,0,396,0,73,31,,,27,5,,,,,,,,,,,,,2185229471.03906,232033.020309916
173,Maine Statewide CoC,,ME-500,Maine,9286982,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,270,21,0,1151,3,424,70,,,101,14,,,,,,,,,,,,,170623938735.031,10827817.6908172
174,Michigan Balance of State CoC,,MI-500,Michigan,10941175,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,465,9,0,681,188,62,87,,,39,15,,,,,,,,,,,,,229232800826.391,9963477.32528687
175,Detroit CoC,,MI-501,Michigan,39882347,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,276,8,1,700,28,251,108,,,111,7,,,,,,,,,,,,,660535655.519531,212030.331446655
176,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",,MI-502,Michigan,11012154,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,43,0,0,115,0,10,13,,,18,0,,,,,,,,,,,,,2260985027.69141,460274.23090632
177,"St. Clair Shores, Warren/Macomb County CoC",,MI-503,Michigan,4121689,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,19,2,0,163,0,47,3,,,25,0,,,,,,,,,,,,,2322398081.62109,318680.435475287
178,"Pontiac, Royal Oak/Oakland County CoC",,MI-504,Michigan,7255480,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,30,7,0,179,0,24,10,,,14,1,,,,,,,,,,,,,4347421115.70703,264984.65185469
179,Flint/Genesee County CoC,,MI-505,Michigan,6719301,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,25,2,0,94,0,77,8,,,20,1,,,,,,,,,,,,,3151962460.28906,242285.095105348
180,"Grand Rapids, Wyoming/Kent County CoC",,MI-506,Michigan,6724522,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,79,3,0,372,31,86,8,,,48,3,,,,,,,,,,,,,4231021012.79297,267865.403810275
181,"Portage, Kalamazoo City & County CoC",,MI-507,Michigan,2472041,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,122,2,0,232,0,51,45,,,21,3,,,,,,,,,,,,,2744443967.89844,209387.776087031
182,"Lansing, East Lansing/Ingham County CoC",,MI-508,Michigan,3076781,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,90,1,0,218,0,64,31,,,33,2,,,,,,,,,,,,,2726444759.54688,278022.476705236
183,Washtenaw County CoC,,MI-509,Michigan,2645242,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,13,0,0,129,0,84,4,,,19,1,,,,,,,,,,,,,3417432809.54688,236913.258865093
184,Saginaw City & County CoC,,MI-510,Michigan,2985615,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,11,7,0,183,0,12,0,,,15,3,,,,,,,,,,,,,3996281161.36328,283582.4233595
185,Lenawee County CoC,,MI-511,Michigan,414352,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,8,0,0,56,0,2,6,,,5,2,,,,,,,,,,,,,3561712239.01953,241418.014959931
186,"Grand Traverse, Antrim, Leelanau Counties CoC",,MI-512,Michigan,584948,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,17,1,0,54,0,51,4,,,7,1,,,,,,,,,,,,,11868173220.8203,930795.626889984
187,Battle Creek/Calhoun County CoC,,MI-514,Michigan,879255,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,28,0,1,56,0,7,6,,,20,3,,,,,,,,,,,,,3397364699.88281,234935.814931347
188,Monroe City & County CoC,,MI-515,Michigan,615162,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,65,0,15,0,,,3,0,,,,,,,,,,,,,2593058222.67578,470015.995069902
189,"Norton Shores, Muskegon City & County CoC",,MI-516,Michigan,966328,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,19,0,0,83,14,5,9,,,5,2,,,,,,,,,,,,,2577464170.16016,243670.846560377
190,Jackson City & County CoC,,MI-517,Michigan,923185,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,12,0,0,32,0,4,4,,,2,0,,,,,,,,,,,,,3421991694.59375,236026.596422115
191,Livingston County CoC,,MI-518,Michigan,387722,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1,0,0,37,2,1,1,,,1,1,,,,,,,,,,,,,2799694903.53906,213157.895795905
192,Holland/Ottawa County CoC,,MI-519,Michigan,937535,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,95,0,0,100,0,5,9,,,5,0,,,,,,,,,,,,,2829884714.51953,259277.097905616
193,Eaton County CoC,,MI-523,Michigan,323862,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,5,0,0,45,0,0,2,,,0,0,,,,,,,,,,,,,2756640017.52734,235871.894087587
194,Minneapolis/Hennepin County CoC,,MN-500,Minnesota,17382930,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,461,18,2,2154,33,394,249,,,108,5,,,,,,,,,,,,,3177586149.79297,304739.374999511
195,St. Paul/Ramsey County CoC,,MN-501,Minnesota,8761494,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,393,14,1,553,16,235,338,,,44,21,,,,,,,,,,,,,877851408.449219,135662.793515162
196,Rochester/Southeast Minnesota CoC,,MN-502,Minnesota,2834922,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,84,5,0,233,37,46,60,,,16,8,,,,,,,,,,,,,60708833901.2031,1378955.03561606
197,"Dakota, Anoka, Washington, Scott, Carver Counties CoC",,MN-503,Minnesota,4036528,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,207,4,0,292,35,97,105,,,15,2,,,,,,,,,,,,,11390567735.2969,872730.843974133
198,Northeast Minnesota CoC,,MN-504,Minnesota,466210,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,39,0,3,25,9,8,25,,,1,2,,,,,,,,,,,,,73050484002.7617,2466497.77829326
199,St. Cloud/Central Minnesota CoC,,MN-505,Minnesota,2376371,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,246,1,16,232,77,54,98,,,35,3,,,,,,,,,,,,,65745486441.6172,1696845.37178973
200,Northwest Minnesota CoC,,MN-506,Minnesota,660735,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,0,,,,,14,6,4,119,17,35,0,,,5,0,,,,,,,,,,,,,92606018021.6094,1741100.93148537
201,Moorhead/West Central Minnesota CoC,,MN-508,Minnesota,938257,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,10,0,0,97,0,19,7,,,4,0,,,,,,,,,,,,,49922689368,1266269.06049713
202,Duluth/St. Louis County CoC,,MN-509,Minnesota,5235139,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,346,11,20,168,10,61,220,,,17,11,,,,,,,,,,,,,38352452393.5313,1098296.24525072
203,Southwest Minnesota CoC,,MN-511,Minnesota,1226519,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,4,2,0,81,0,1,3,,,2,0,,,,,,,,,,,,,62857812797.2773,1362016.12227089
204,St. Louis County CoC,,MO-500,Missouri,7104876,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,88,12,0,157,4,54,41,,,19,4,,,,,,,,,,,,,2225175776.41797,284950.355919474
205,St. Louis City CoC,,MO-501,Missouri,21644640,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,151,4,0,299,3,183,90,,,114,8,,,,,,,,,,,,,281307817.191406,85171.3536928709
206,"St. Charles, Lincoln, Warren Counties CoC",,MO-503,Missouri,894184,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,113,3,0,268,44,30,19,,,14,4,,,,,,,,,,,,,7151218456.04297,477603.590774723
207,"Springfield/Greene, Christian, Webster Counties CoC",,MO-600,Missouri,1425468,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,173,9,0,175,0,115,97,,,25,14,,,,,,,,,,,,,7501767618.69531,400127.848593935
208,"Joplin/Jasper, Newton Counties CoC",,MO-602,Missouri,721199,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,118,1,0,44,11,15,28,,,36,6,,,,,,,,,,,,,5165629346.00391,292233.737382937
209,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",,MO-603,Missouri,1960611,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,81,1,0,79,0,48,37,,,7,1,,,,,,,,,,,,,5619722836.91016,450375.743666204
210,"Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC",,MO-604,Missouri,12920659,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,872,25,2,506,2,39,344,,,102,52,,,,,,,,,,,,,4025504212.32422,535428.648201154
211,Missouri Balance of State CoC,,MO-606,Missouri,9422310,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,749,11,1,455,125,182,434,,,81,59,,,,,,,,,,,,,263063244600.504,4320747.68258097
212,Northern Mariana Islands CoC,,MP-500,Northern Marianas,785144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516048682.255859,477974.165280535
213,"Jackson/Rankin, Madison Counties CoC",,MS-500,Mississippi,3438312,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,113,2,0,15,0,5,0,,,8,0,,,,,,,,,,,,,13892164486.4492,996736.603080976
214,Mississippi Balance of State CoC,,MS-501,Mississippi,8545659,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,217,0,0,75,2,6,68,,,12,13,,,,,,,,,,,,,148746725635.5,3166339.42457538
215,Gulf Port/Gulf Coast Regional CoC,,MS-503,Mississippi,1827477,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,3,,,,,154,0,0,75,0,2,3,,,1,6,,,,,,,,,,,,,12526650802.1914,1072131.1502213
216,Montana Statewide CoC,,MT-500,Montana,3424002,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,524,9,4,494,48,234,217,,,113,55,,,,,,,,,,,,,820189030127.527,4615979.78822108
217,Winston-Salem/Forsyth County CoC,,NC-500,North Carolina,2811212,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,234,0,0,188,0,34,56,,,35,12,,,,,,,,,,,,,1638312532.36719,200056.039679215
218,Asheville/Buncombe County CoC,,NC-501,North Carolina,1059445,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,215,1,1,76,3,88,142,,,181,10,,,,,,,,,,,,,2591681884.64844,295769.633368092
219,Durham City & County CoC,,NC-502,North Carolina,2540073,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,149,0,0,147,23,62,40,,,38,5,,,,,,,,,,,,,1175110554.30859,180050.112803256
220,North Carolina Balance of State CoC,,NC-503,North Carolina,18827698,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1633,8,0,760,494,225,348,,,70,64,,,,,,,,,,,,,153929489343.096,12144445.9783171
221,"Greensboro, High Point/Guilford County CoC",,NC-504,North Carolina,3557967,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,209,5,0,143,25,90,26,,,54,7,,,,,,,,,,,,,2617632292.32813,345869.716422253
222,Charlotte/Mecklenburg County CoC,,NC-505,North Carolina,7206327,,,,,,,,,,,,,,,,,,,,,,0,120,0,0,120,,,,,380,8,0,641,4,254,191,,,99,17,,,,,,,,,,,,,2125699196.39453,242656.345143239
223,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",,NC-506,North Carolina,1176780,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,298,3,0,107,21,36,129,,,19,16,,,,,,,,,,,,,7378545311.67383,1707001.84719994
224,Raleigh/Wake County CoC,,NC-507,North Carolina,6468472,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,134,11,0,262,7,89,55,,,22,10,,,,,,,,,,,,,3391176665.46484,308191.970119473
225,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",,NC-509,North Carolina,1454807,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,216,10,0,121,0,47,65,,,3,10,,,,,,,,,,,,,4436739530.33984,307051.957140806
226,Fayetteville/Cumberland County CoC,,NC-511,North Carolina,2483506,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,253,0,0,86,0,1,15,,,1,6,,,,,,,,,,,,,2550512702.61328,267033.081607517
